"Movie.Name","Plot","dominant_topic"
"When the Storm God Rides: Hell's Coming with Me ","When the Storm God Rides: Hell's Coming with Me  :  Follows one man's quest for revenge in a time when the rule of law was often overshadowed by the rule of lawlessness. James Walker's past comes looking for him one night, but they find his wife and daughter instead, now they will pay for what they did and they payment will be in blood...","War and Humanity"
"King of the Bullwhip ","King of the Bullwhip  :  U. S. Marshals ""Lash"" LaRue and ""Fuzzy"" Jones are summoned into a bandit-ridden territory by a local banker. Since the bandit, El Azote, is known to wear a mask and carry a bull-whip, the local saloon owner, not knowing ""Lash"" is a lawman, hies him to impersonate the outlaw, and pull a series of hold-ups which will be blamed on El Azote, ""Lash"" intends to return the loot he acquires to its rightful owners, after he has learned the identity of El Azote, but his own identity is discovered by the gang before he can do so.","War and Humanity"
"Call of the Desert ","Call of the Desert  :  Tod Walker takes Rex Carson's map to a gold mine and leaves him in the desert. Carson recuperates at Jean Walker's ranch and she takes a liking to him. But when her uncle Tod arrives, he claims Carson tried to jump his claim. She sides with her uncle and Carson, banished from the Walker ranch, sets out to get his claim back.","Sports and Competition"
"The Great Sioux Uprising ","The Great Sioux Uprising  :  Joan Britton, improbably gorgeous frontier horse dealer, and the much less scrupulous Stephen Cook are friendly competitors supplying horses to the Union Army in Wyoming Territory during the Civil War. Southern general Stand Watie, a Cherokee, is rumored to be in the area to stir up the Sioux against the Union, when Cook picks this worst possible moment to steal a herd of Sioux horses. Enter ex-army doctor Jonathan Westgate, who becomes Cook's rival for the love of Joan, opposes his crooked activities...and who alone can prevent a new Indian war.","Sports and Competition"
"The Three Outcasts ","The Three Outcasts  :  After young Dick Martin's father dies, his mother marries Rance Slavin, with whom Dick does not get along. Years later, after his mother has died, Dick buys his own horse ranch. He discovers one day that his horses are being stolen in large numbers, and sets out to find the thief and get his horses back. However, he is in for a surprise when he finally discovers the identity of the horse thief.","Holidays and Romance"
"Circle of Fury ","Circle of Fury  :  Back from Iraq, Johnny Brown discovers that a new war is taking place in the streets of New York. In an attempt to get kids off the streets and instill the discipline he has learned in the Marine Corps, Brown launches a school for Mixed Martial Arts. But when a group of drug pushers try to use his school as a drug laundering business, an all out brawl occurs; pitting Brown against his childhood friend, who is now pursuing a life of crime.","Fantasy and Quest"
"Captain Eager and the Mark of Voth ","Captain Eager and the Mark of Voth  :  Captain Eager is resurrected by the sprawling galactic corporation MacroSpace. His mission is to investigate the villainous Colonel Regamun, a maverick 'client' causing trouble in the Veritan Sector, and perhaps in the process uncover the truth behind the mysterious Mark of Voth. Piloting his space rocket the Victory and along with Professor Moon, trusted side-kick Scrutty, Scamp the Space Dog and old flame Jenny, Captain Eager and his team jump in to the digital age to save the day!","Western and Adventure"
"The Elements Club: Lord of Flawless Strength ","The Elements Club: Lord of Flawless Strength  :  Segment Two of The Elements Club series, Lord of Flawless Strength It took only one look into her eyes, and Lord Edward Gelson, the Viscount of Wesbury, knew his soul was instantly ensnared. But where to find this elusive, masked entertainer with the voice of a spiritual siren, the body of a goddess, and a psyche filled with transparent internal pain? Could the mysterious spirit-stirring entertainer be the aloof, fashion-centered, queen of the racetrack, Master V? Or was his prophetic gifting rebelling by lying to his passionate instinct? Master V has not let a wife-beating ex-husband, an obsessed fan, or a chauvinist racing owner get the best of her plans to emerge into Society. Determined to keep her heart in check, her goal of building her secret singing career, while publicly racing her prize stallion, are put to the test by the attentions of Lord Wesbury. His achingly sweet, yet daring love notes, his gift of dream interpretation, and his off-beat sense of humor centered on zany animal caricatures, threaten to thaw her heart and breathe life into her bitter soul. When a public crisis arises, Master V and Lord Wesbury wrestle with the meaning of spiritual destiny and the value of life-long ardor.","Family and Struggles"
"Adventures of Tron ","Adventures of Tron  :  You are moving along platforms avoiding Grid Bugs, Tanks, and Recognizers. You must collect floating bits at each level of the screen. After you collect all the floating bits, the I/O beam in the center glows and you can enter it to move on to the next screen. On the third level;, there is a Solar Sailer that you can ride to get over enemies. You can go down at any time but to move up, you must cross the I/O beam to activate the elevators. Once you have used the elevators to move up a level, you must go through the I/O beam again to re-activate the elevators again.",NA
"Operation Naked ","Operation Naked  :  The film tells the fictional story of Michelle Spark, a German developer of data glasses. The device is able to recognize faces and connect them with information available in the internet. The impact of this new technology becomes evident when a very private secret of one citizen is broadcast to the public using Spark's invention. The initial enthusiasm in media and politics turns into rejection. This new layer of information causes changes in everyday life that are too fundamental and challenging for politics, bureaucracy and the rule of law.","Holidays and Romance"
"National Geographic Inside: Cat & Mouse ","National Geographic Inside: Cat & Mouse  :  Rob Dick and Leonard Padilla are two of the best bounty hunters in the business and they are not about to let anything stand in their way of capture. From a fugitive's friend who runs out the back of a house to create a diversion, to a confrontational man who threatens the team at the door of a bust, to a skip whose drug habit makes her difficult to catch up with; Rob, Leonard, and the team members Kevin, Art and Steve handle these cases professionally and diligently, getting the job done despite some very unique challenges.","Western and Adventure"
"Insaaf: The Final Justice ","Insaaf: The Final Justice  :  A gangster named Shah, owing allegiance to the Janardhan gang is killed by Chimanbhai. Although Janardhan is in prison, he ensures that Chimanbhai is notified of his anger and vengeance. Chimanbhai arranges a meeting with Janardhan, and kills him. Some school-children and their teacher, Aarti Singh, who are at a picnic nearby witness this, but Chimanbhai and his men hunt them down and kill them all. The entire country is shocked at this killing, and the police are under pressure to apprehend the killers at any cost. Aarti's brother who is Police Inspector Vikram Singh, also assists in finding out who the killer and gets his girlfriend, Divya, to pose as Aarti in order to lure the killers to come out into the open. This does get some results - albeit not the ones Vikram and Divya had hoped for and they are now on the run - not only from Chimanbhai's gangsters - but also from corrupt policemen, and an Member of Parliament, who is also involved, and will do anything within his power to ensure that both get killed.","Aliens and Science Fiction"
"National Geographic Inside: Trouble in Paradise ","National Geographic Inside: Trouble in Paradise  :  The Guam capture itself may prove to be one of the toughest challenges in their lengthy careers, but they have more work to do in Hawaii. With little time before bond companies must fork over thousands of dollars to the court, Leonard and Rob meet team members Kevin, Art, and Steve in Hawaii in an attempt to nab their second fugitive in one clean sweep. But when their plans on the island are exhausted they must quickly adapt.","Western and Adventure"
"Age of Wonders ","Age of Wonders  :  The game has a single-player campaign, playable from two sides (more campaigns have been made by the community since release), and many maps, both included and user-created that can be played in Hotseat mode, over a LAN, on the Internet, or by email (PBEM). Up to 12 players can participate in a single game, depending on the map. Players have an isometric view of the map, which consists of hexagonal tiles, and can have up to three layers (surface, caverns, and depths). Units are arranged into groups (also known as parties or stacks) of up to eight units; a single such group occupies one tile. Cities occupy between one and four tiles, and other structures generally occupy a single tile. Each player leads a certain race. There are 12 races available in the game, though not all of them may be present on every map, and of those which are, not all may be playable. List of races includes traditional fantasy Elves, Lizardmen, Humans, Goblins, Dark Elves, Undead, Orcs, Dwarves and Halflings, as well as several unique ones such as Frostlings, Azracs, and Highmen. Races, as well as units not belonging to any specific race, such as dragons and giants, have a certain alignment, which can be good, neutral, or evil. According to their alignment and certain other factors, cities and independent units of one race can be friendly or hostile towards another race. This can manifest itself in different ways; for example, an orc city is not likely to surrender to the elves, and if conquered, may revolt unless there is a strong military presence in it to oppress the population. Units of hostile races forced to fight alongside each other in a single group will have lower morale, and are more likely to desert. Race relations can be improved by acts of goodwill towards other races, such as upgrading their cities, or hampered by razing, looting, or migrating cities belonging to that race. Diplomacy can also affect this and even an alliance with one race might affect the relation of another race. There are also several spells which have a global effect on race relations. There are two resources, gold and mana. Gold is used to build units, buy heroes, cities and spells (in Wizard Towers), upgrade cities. Mana is used to cast and research spells and use altars.",NA
"The Ugly Little Boy ","The Ugly Little Boy  :  Edyth Fellows is a nurse recruited for an research project with a time travel device that can snatch any being from any time and bring it to the present. The first such test brings an Neanderthal child to the project and Fellows is responsible for his care for the interim. As she manages this task, Fellows is increasingly revolted at how the scientists dismiss him as little more than an animal, especially when his real intelligence shows. This growing moral dilemma comes to a head when Fellows realizes what they plan to do with him and she cannot stand by and let it happen.","History and Art"
"Gun Powder and Lead ","Gun Powder and Lead  :  The year is 1890 and three cowboys set out on an adventure to learn if a treasure map found inside an old leather journal holds any integrity or if it's just a complete waste of time. Austin, his good friends Reid and ""The Gambler,"" set out on their journey from Virginia, leaving the prosperous civilization they've become accustomed to behind. They are armed, they're hungry for lost treasure, and are completely unaware of the dangers and the real adventure that awaits them in the flat foothills of the free Oklahoma landscape.","Urban Life and Conflict"
"There Goes My Hero ","There Goes My Hero  :  The story of two brothers that are inseparable. When a devastating turn of events happens that puts their brotherhood to the test. Time is not on their side and the older brother risks everything to put together a team of unlikely heroes to try to save his brother. In an unbelievable epic battle for survival. All or nothing. Family is everything.","History and Art"
"Desperadoes of Dodge City ","Desperadoes of Dodge City  :  Rocky and the Land agent riders need to get an important message to the Army post. The message is stolen but Rocky knows one of the four men on the stagecoach has it. When Rocky and the four get trapped in a shack by the outlaw gang, he learns that one of the four is the gang leader. Rocky has to learn his identity and retrieve the message","Sports and Competition"
"Unconditional Love ","Unconditional Love  :  A crusading reporter (John Kennedy Horne) for the weekly L.A. New Times spends his time writing exposes on the conditions permitted by slumlords. However, when his best friend (Sheryl Lee Ralph) is killed by a corrupt business executive (Henry Silva), he is forced to start trying to find the evidence. This leads him into conflict with many surly longshoremen and hit men. Meanwhile, he makes a new acquaintance in a bookstore clerk (Tracey Ross), who also happens to be a computer whiz and aids him in finding the information he needs.","Family and Struggles"
"The Life and Times of Gangsta Brown Part 2 ","The Life and Times of Gangsta Brown Part 2  :  Out of the streets of the San Francisco/Oakland Bay area, a ghetto superstar was born and raised. Internationally respected and recognized around the globe, the infamous ""Gangsta Brown"" has become a living legend to ""The Game"". At an early age he was known as ""The Funky Drummer"", playing drums with his godfather, world famous blues musician and pimp ""Fillmore Slim"". Keenly observing his godfather bring in fast money from women, Gangsta's focus quickly turned as he transitioned to his successful management of ladies of leisure. He picked up the game from Fillmore Slim, his father Globetrotter, and his cousin Pauncho, who was the first player he had ever seen. Soon you could spot Gangsta Brown rollin' one of his first Rolls Royce automobiles. 1995 was the year when the young Divine Brown became the ""Million Dollar Lady"", a highly publicized scandal blasting her sexual innuendos with British actor Hugh Grant across the world. From the ghetto streets of the Bay Area, Gangsta Brown's successful business ventures took him from Hollywood to Germany, France, London, Brazil, and across the globe. Being both streetwise and business savvy, Gangsta Brown, also known as the ""Freestyle Game Spitter"", became known in the entertainment industry. Who better to tell his magnificent story than the real street hustlas, macks, pimps, and playas from his home turf? Take a close look into the ups and downs of Gangsta Brown's life through the eyes of those that have witnessed and taken part in this Game. Both young and old have a story to tell about Gangsta Brown, who undoubtedly has earned his status as ""one of the best that ever did it"".","Fantasy and Quest"
"Pride of the West ","Pride of the West  :  Caldwell and Nixon have their men rob the stage and then critcize the Sheriff for not catching the robbers. With her father the Sheriff under pressure, Mary sends for Hoppy who finds the stolen money and sets a trap to bring in the entire gang.","Sports and Competition"
"The Wipers Times ","The Wipers Times  :  Just after the First World War Fred Roberts goes for a job as a newspaper journalist and tells the sub-editor how, in the trenches in 1916, he discovered a printing press in working order. Helped by ex-printer Sergeant Harris and with his friend Jack Pearson as his assistant, he sets up the Wipers Times - the name coming from the soldiers' pronunciation of the town Ypres. Despite disapproval from officious Colonel Howfield but with backing from sympathetic General Mitford they produce twenty-three issues of a satirical magazine - its articles represented on screen in black and white - which boosts morale and even gets mentioned in the Tatler. The press is destroyed by a German shell but another is found and the paper's title changed to fit in with wherever the regiment is deployed. Pearson and Roberts are both awarded gallantry medals but when Roberts is only offered the job of crossword compiler by the sub-editor he moves to Canada as a prospector while Pearson marries and opens a hotel in Argentina. Both survived into the 1960s. When Captain Fred Roberts discovered a printing press in the ruins of Ypres, Belgium in 1916, he decided to publish a satirical magazine called The Wipers Times - ""Wipers"" being army slang for Ypres. Full of gallows humor, The Wipers Times was poignant, subversive and very funny. Produced literally under enemy fire and defying both authority and gas attacks, the magazine proved a huge success with the troops on the Western Front. It was, above all, a tribute to the resilience of the human spirit in the face of overwhelming adversity. In his spare time Roberts also managed to win the Military Cross for gallantry. Discovering a printing press in the ruins of Ypres, Belgium, Captain Roberts decides to publish a satirical magazine called The Wipers Times. Subversive and full of gallows humor, the 'Times' was also very funny. Produced under enemy fire and gas attacks, against all odds the magazine proved a huge success with the troops on the Western Front. A testament to the resilience of the human spirit. Roberts also managed to win the Military Cross for gallantry.",NA
"Battle of Rogue River ","Battle of Rogue River  :  The Indians, under Chief Mike, have been defeating the Army in Oregon for years. The new commander, Major Archer, plans to defeat the Indians once and for all, but his orders are changed to attempt a peaceful settlement. But there are certain people who do not want Oregon to become a state and they will attempt to keep the Indians on the war path.","War and Humanity"
"The Proud Rebel ","The Proud Rebel  :  Searching for a doctor who can help him get his son to speak again--the boy hadn't uttered a word since he saw his mother die in the fire that burned down the family home--a Confederate veteran finds himself facing a 30-day jail sentence when he's unfairly accused of starting a brawl in a small town. A local woman pays his fine, providing that he works it off on her ranch. He soon finds himself involved in the woman's struggle to keep her ranch from a local landowner who wants it--and whose sons were responsible for the man being framed for the fight.","War and Humanity"
"Shred Bots the Movie ","Shred Bots the Movie  :  Less like robots and more like ""bro-bots"", this epic ensemble of Norwegian and Canadian riders are about to present you with a serious lesson in Kinematics: That's android terminology for ""the study of motion, as applied to robots"". Unfortunately, without an included owner or operator manual, the viewer will have to subject themselves to numerous viewings in order to apply these teachings to their own on-hill experimentations. Included, however, you will find a variety of street, park, and backcountry footage stretching from North America to Japan and Europe. Torstein, Mark, Stale and Craig will bring you beyond the lights, crowds, and podiums of the contest scene and into the backcountry, park and streets. Andreas will solidify his place as one of the best backcountry jumpers of all time, while newcomers like Anto Chamberland, and Brage Richenberg simultaneously break into the snowboard scene and demonstrate that they won't be leaving it anytime soon. This is a group of close friends, much like the circle you run in, traveling the world, laughing, smiling, and pushing one another as far as they can while carving their own line through snowboard history.","Fantasy and Quest"
"""3x3 the Immersive Fiction"" ","""3x3 the Immersive Fiction""  :  Paris, 29 December 1999: the eve of new millennium. We discover a young man waking up with amnesia in a hospital bed. The doctors name this ""John Doe"" Mathieu. He has three days left to live. He would like to enjoy life one last time. He enters the magical Paris celebrating its new New Year's Day. But an anxiety is spreading: the fear of the Y2K bug, the fear that all the systems will stop and that time might not be taken into account any more. Most of all, every machines will reset... He dies at 3 a.m. on January 1st - but wakes up again on December 29th, 1999. Mathieu quickly realizes he is trapped inside a time loop. He must uncover the nature of the world around him, which seems to blend his memories and the deep fractures of his own psyche. His journey will take him to the depths of his own mind, where he will confront his past, his future, and his own self. A man traps inside a time loop. He must uncover the nature of the world around him, which seems to blend his memories and the deep fractures of his own psyche. His journey will take him to the depths of his own mind, where he will confront his past, his future, and his own self.","Crime and Revenge"
"The Investigator ","The Investigator  :  The Investigator, a benevolent alien from a distant galaxy, selects an Earth boy and girl, John and Julie, to assist him in his mission to make their world a better place. The pair are miniaturized to assist The Investigator more easily, and assigned to prevent the theft by Stavros Karanti of a 14th century masterpiece from a church on Malta. John and Julie are presented with a car and a boat, scaled to accommodate their miniaturized size, and set out to thwart Karanti's plans...",NA
"Max Havoc: Curse of the Dragon ","Max Havoc: Curse of the Dragon  :  Ex-kickboxing champion turned sports photographer Max Havoc again finds himself in Guam on a publicity photo shoot. Max's helpful ways land him in the lives of the vacationing sisters Jane and Christy Goody who have acquired a rare jade dragon, which belongs to the ruthless Japanese Yakuza who will stop at nothing to get it back. It's up to Max to stop the Yakuza, save the sisters and restore order to the peaceful island.","Family and Struggles"
"Futbaal: The Price of Dreams ","Futbaal: The Price of Dreams  :  When the Iranian National Soccer team comes to America to play the U.S. team, BABAK is their captain. He is the young, handsome face of the team with the quick moves of a lightweight boxer. Simply stated, he is the star. Babak's older brother MOURAD (once a fine player in his own right - but never having the talent of Babak) is attached to the team as they tour the States - perhaps only to handle his brother. The two are very close, but differ ideologically in that Mourad is much more fundamental. The story begins with the Iranian team playing the U.S. squad in Los Angeles. We learn that Babak had been approached months earlier in Iran about possibly staying in the U.S. to play for the local professional team. Babak receives a one million dollar signing bonus to join the Los Angeles Vipers pro team just prior to the end of their regular season and help their chances in the playoffs. Mourad is incensed by his brother's decision and attempts to explain that Babak is compromising his life on many levels - patriotically, religiously, and most importantly, the abandonment of family. Babak can never go home. Babak meets SORAYA, a beautiful, charming Iranian/American who's an up and coming reporter for a national Cable Sports Channel and the sister of the Vipers owner. The two young people have an immediate attraction. Her brother, DR. SHAFAIAN, is a very powerful figure in the local Iranian community. Although he professes to be a friend to Babak, until the end we are unaware of where Dr. Shafaian's loyalties lie. The pressures of a new country, a new soccer team, his brother's cynicism, and the involvement with Soraya all come to a head as the Vipers play the Dallas Panthers for the Championship. Adding to the anxiety is a blackmail plot - threatening to imprison Mourad and the rest of his family should Babak stay, or perhaps be imprisoned himself should he try to return to Iran. This compelling immigrant's story is how one's life is impacted by the decisions of life, family, religion, and morality that face every person chasing the American Dream.","Western and Adventure"
"The Legend of Booger Red ","The Legend of Booger Red  :  After being roughed up once again by the dirty little town's resident bullys, Booger Red, at the urging of his only friend-the town whore, sets out to rediscover a gold mine once belonging to his dead brothers. Pursued by two no good cowboys; and helped by an Old dying Indian, Red, against all odds, succeeds in his quest, only after killing one of the cowboys while the other kills, and is in turn killed by, the Old Indian. Having found his riches, a near fatal snake bite may prevent him from realizing the comfort which he so desperately fought","Crime and Revenge"
"The Invisible Man ","The Invisible Man  :  A modern retelling of H.G. Wells classic novel, The Invisible Man. Motivated by the death of his son, Griffin, a brilliant but eccentric scientist discovers a method to invisibility. He is able to complete the experiment, with the aid of his assistant, Faith. The formula allows him to exact revenge on murderer that killed his son, but at a tragic expense, the formula slowly begins to consume his mind.",NA
"The Artifice ","The Artifice  :  Dan (Jason Wisti) takes a full time job delivering books. As he does Dans friends Brian( Jason Mehl) and Greg (Nick Zacarese) begin to wonder the legalities behind the easy money job. Joe (Carlos Cruz) Dans employer assures everything is level. However as Ryan (Jason Raghubir) makes an appearance, tensions run high. The truth is reviled and Dan is left standing on his wits to get himself out of danger.","Crime and Revenge"
"Purple Death from Outer Space ","Purple Death from Outer Space  :  Earthmen are suddenly stricken with a mysterious disease, which causes instant death and leaves a purple spot on the forehead of each victim. Investigating, Dr. Zarkov discovers a spaceship from Ming's kingdom on Mongo spreading a dust across Earth's atmosphere, which Zarkov correctly deduces is causing the plague. Accompanied by Flash Gordon and Dale Arden, Zarkov drives off the ship and hurries to the friendly Mongo kingdom of Arboria, to enlist the aid of Prince Barin. At Barin's palace, they meet Queen Fria and Count Korro of the ice-kingdom Frigia. Helping them rescue a Frigian general from Ming's palace, they learn the nature of Ming's plague-dust and its antidote, found only in Frigia. With Fria's blessings they fly to Frigia to obtain the antidote, accompanied by Arboria captains Ronal, Roka and Turan. But Ming learns this, sends his own officers Torch and Thong to stop them with raygun fire and an army of humanoid robots... [Unedited compilation of the serials Ch's 1-5 and the cliff-hanger resolution in 6].","Urban Life and Conflict"
"Realm of Darkness ","Realm of Darkness  :  The Film starts late in the 17th Century with a group of Scottish Clansmen and specially trained monks fighting a mixed batch of demons including Satan and his son Terrence to stop them ruling the World. Satan has an agreement with God, that every millennium, he can take human form and impregnate a female of his choice, when the baby reaches its 18th birthday it gets the same powers as Satan and they join forces to rule the world and turn it into their evil kingdom, allowing Satan freedom from Hell. However every millennium the monks have one individual gifted with speed and expert fighting skills, whose job it is to prevent Satan's sibling reaching their 18th Birthday..",NA
"Code of the Cactus ","Code of the Cactus  :  When Blackton outbids Bill Carson. Bill suspects he will have to rustle cattle to fulfill the contract. So Bill arrives posing as an Mexican. When he rustles the cattle from the rustlers, it gets him into the gang. Hoping to bring them all to justice, he is in trouble when his true identity is revealed.","Sports and Competition"
"The Factory ","The Factory  :  Gene has the world - he's a successful entrepreneur, beautiful home, beautiful car, everything he could ask for except for one thing. Then he meets Gilda and the two fall in love and marry. They travel the world and live a life of pure happiness until tragedy strikes...","Crime and Revenge"
"The Young Guns ","The Young Guns  :  The son of a feared Wyoming gunslinger struggles with the decision of whether to follow in his dead father footsteps--as everyone assumes he will--or fight against the pressure of the people he knows--to break with the past and lead a peaceful life.","Sports and Competition"
"Devotion ","Devotion  :  A pastor takes up boxing after his wife retires from MMA fighting. With the help of top pro trainer, Big Jim (John Amos), Parker lands a fight against the champ with his wife fighting on the under-card. The couple donate the fight earnings to help build clean water wells and houses in Africa, Guatemala, and Haiti. The church also runs a bi-weekly feed the neighbors food service as well as hunger relief and nutrition here in the US.","War and Humanity"
"The Loaded Door ","The Loaded Door  :  When Bert Lyons ( Hoot Gibson ), returns to the Grainger spread from the ""outside world,"" he learns his former employer is dead and the ranch in the possession of Stan Calvert ( Joseph Harris ), a notorious narcotics smuggler, and Blackie Lopez ( Noble Johnson ), a rustler who has his eyes on Molly Grainger ( Gertrude Olmstead ), Lyons' sweetheart. Bert tricks the outlaws as they are plotting his death and rescues Molly when she is kidnapped by Blackie. The gang is captured, and Lyons helps free Molly's brother Joe of a murder charge.","Fantasy and Quest"
"The Peacekeeper ","The Peacekeeper  :  United States air force Major Frank Cross is in trouble with the ""brass"" again. This time he's made an unauthorized humanitarian relief flight ... dropping sacks of rice to starving Kurds. To the press, he's a hero. The Pentagon would like to court martial him, but can't because the President wants the highly photogenic media hero by his side--at least until after the next election. So Cross has a new assignment. He's to carry the ""black bag""-- the President's high-tech briefcase containing the ""go codes"" and communications computer for launching America's nuclear ICBM arsenal in case of national emergency. It should be a piece of cake, but... On his first day on the job, a team of mercenaries steal the briefcase and drop Cross off a tenth floor balcony. Miraculously, he not only survives, but pursues the terrorists in a hijacked taxi. The ensuing car chase careens through the alleyways and streets of Chicago, up the ramps of a parking garage and then, unexpectedly, continues over the rooftops of the adjacent buildings! When the taxi takes a fiery plunge off one of the buildings, the mercenaries think they've seen the last of him ... but Cross has bailed out and manages to stowaway on the helicopter that plucks them, and the black bag, from the rooftops, into the night sky and onwards to their final target... United States Intercontinental Ballistic Missile Facility K-7. Disguised as one of the terrorists, Cross slips into the missile silo as the crack team murders the silo personnel and takes over launch control using the secret codes contained in the black bag. Led by ex-Marine Colonel Douglas Murphy, who went ""missing in action"" during an undercover operation in Iraq, they launch a terrifying warning shot: a Peacekeeper nuclear missile that destroys Mount Rushmore! Only then does Murphy call the President and make his chilling demand. The President is to kill himself in front of a live television audience, or the two remaining nuclear missiles will be targeted on Washington D.C. Only Frank Cross, Joined by the surviving commander of the Missile Facility, Lieutenant Colonel Bernard Northrop, can stop the madness that threatens the President and millions of civilians. The odds are overwhelming. The countdown has started. The PEACEKEEPER is ready to blast off!","History and Art"
"The Mob Priest ","The Mob Priest  :  Father Frank, a military chaplain returns home hoping to put his painful war experiences behind him but a tragic circumstance makes him face his true legacy. This is revealed to him by Monsignor Trovato, a stigmatist, and patriarch of a secret society; whose mission is to protect the spirit of the church at all costs including the deepest secrets of his holy order. Together Father Frank and Monsignor Trovato battle against not only the mafia boss, Diamond Dan, but the forces of a corrupt Bishop and a Vatican Bank liaison, Jared McKendry, in an effort to save his Church and Frank's older brother Mike.","Family and Struggles"
"Sports Humanitarian of the Year Awards ","Sports Humanitarian of the Year Awards  :  Beyond the world-class action on the courts and fields, members of the sports world positively affect our communities through important charitable commitments. It's that premise that forms the foundation of the new Sports Humanitarian of the Year Awards Presented by ESPN and PlayStation.",NA
"The Long Rope ","The Long Rope  :  A federal judge is sent to a town to preside in a murder trial. He discovers that the defendant, a poor Mexican, is accused of killing the brother of a powerful landowner, and the townspeople are in no mood for the niceties of a trial. The judge, who has come to believe the accused is innocent of the murder, has to find the real killer before the defendant is railroaded to the gallows.","War and Humanity"
"""Star Trek the Original Series Fan Commentary"" ","""Star Trek the Original Series Fan Commentary""  :  To celebrate 50 years of STAR TREK, Scruffy and Jinyo are challenging you to watch an episode a day of The Original Series! We're recording a commentary video for you to play while you watch each episode...so it's like we're watching it with you right there in your home! Like anyone actually wants that... Because, seriously. But you're getting it anyways. So buckle up and let's boldly go!","Western and Adventure"
"Terror from the Year 5000 ","Terror from the Year 5000  :  Prof. Erling and his financial backer Victor build a prototype time machine to snatch objects from the past. Latest find, a statuette, radiometrically dates to 5200 AD! When this draws colleague Richard Hedges to the island lab, Erling reveals that 20th-century objects put in the machine seem to be ""traded"" for analogous future objects by intelligent life. And on the sly, Victor's been trying to get a living visitor. Does the future need help, or is the present in danger?","Aliens and Science Fiction"
"Fighting Man of the Plains ","Fighting Man of the Plains  :  In August, 1863, Jim Dancer, searching for the killer of his brother, rides with Quantrell's raiders against Lawrence, Kansas. Yancey, one of the guerrillas most responsible for the band's bad name and reputation, accosts Evelyn Slocom. Yancey tell Dancer that Evelyn's father is the man who killed Dancer's brother, and Dancer takes revenge by killing him. But the man he is searching for is really the dead ma;s brother, Bert Slocum. When the Civil War ends in 1865, Dancer becomes a fugitive, hunted by Slocum and George Cummings, a detective for the Pleasanton Agency. Cummings finally catches Dancer, and it is only then that Dancer learns he killed the wrong man. While crossing the river on a makeshift ferry, Cummings is accidentally killed. When they are found, Dancer introduces himself as Cummings, saying the dead man was Jim Dancer. As Cummings, Dancer becomes a track-worker at Lanyard, Kansas. While the town is celebrating the arrival of the first cattle-drive herd from Texas, one of the cowboys menaces Evelyn Slocum, and Dancer stops him in a gun duel. The townsmen named Dancer Town Marshal in place of the cowardly Marshal. Persuaded by Dave Oldham and Florence Peel, both of whom know his true identity, Dancer accepts the job. But Bert Slocum is still after him, and the town's crooked justice-of-the-peace and district attorney aren't overly fond of the new Marshal and his law-and-order ways.","Fantasy and Quest"
"The Victors ","The Victors  :  A lone S.O.E. agent codenamed 'Charlie' fights his way south through enemy territory to complete his mission, discovering the brutal reality of this war, revealing wounds that are deeper than cuts, discovering if one man make a difference or drown in his nightmares?",NA
"Where's Waldo: The Second Coming ","Where's Waldo: The Second Coming  :  The woods are no longer safe and the human race's only hope has been retired for years. The events of ""Where's Waldo"" have put John Bradley into a deep depression, he hasn't fired a gun since he took vengeance on the remaining Waldos for the slaughter of his dearest friend Kyle. He's lost the will to live and now spends his days wallowing in regret over his past mistakes, that is until the Waldo threat enters his life once again and John must pick up his hat and guns and head back into the woods for one final confrontation with his sworn enemies. Join John Bradley as he takes it upon himself to end the Waldo threat once and for all.","Urban Life and Conflict"
"Spell of the Circus ","Spell of the Circus  :  In order to gain control of a big circus,Butte Morgan ('Tom London' (qv)), manager of the Circus, wants to marry Marie Wallace ('Alberta Vaughn' (qv)), daughter of the circus owner. Marie is in love with Jack Grant ('Francis X. Bushman Jr.' (qv)), the cowboy star of the Wild West show. Morgan knows no boundaries in his quest for Marie, including a kidnapping and a forced marriage.","Holidays and Romance"
"Across the Divide ","Across the Divide  :  As she lay dying, Wallace Layson's mother leaves him in the care of Buck, a halfbreed. Buck raises him as his own son, not telling him of his real identity. As Wallace approaches the age of 21, his real father shows up in order to cheat him out of a ranch he will inherit when he reaches that age. Buck, however, is determined to foil the father's plans to cheat Wallace out of his inheritance.","Holidays and Romance"
"Riders of the Purple Sage ","Riders of the Purple Sage  :  Lassiter, a Texas Ranger, goes after the sect which has abducted his sister Millie. During his search, he encounters Jane Withersteen, who owns a rich estate. Lassiter saves a man named Venters from a whipping by men who think Venters is courting Jane. Lassiter takes Venters' place as manager of Jane's ranch, while Venters goes in search of cattle thieves. Venters discovers the thieves are led by a masked rider, and wounds the rider. The rider turns out to be female, and Venters nurses her back to health. Lassiter discovers that Millie is dead, and takes an orphan girl named Fay Larkin under his wing. When Fay is abducted by the same sect that had taken his sister, Lassiter takes his vengeance out on their leader, Dyer, and rescues Fay. As they are fleeing, they meet Venters and the masked rider, whom Lassiter recognizes as his sister's daughter, Bess. Venters and Bess ride east to be married, but Lassiter's escape route is cut off by pursuers, led by Elder Tull. Lassiter, Jane, and Fay find an entrance to a canyon, but it is blocked by a massive rock. Lassiter manages to push the rock down on Tull and his followers, but in the process, he seals himself, Jane, and Fay in the canyon.","History and Art"
